Title,Author,Genre,Rating_Average,Rating_Counts,Description,Page_Numbers,ISBN,Language,Published_Year,Cover_URL,Book_Link
Anne of Green Gables,Lucy Maud Montgomery,"Fiction, Juvenile fiction, Country life",4.2967033,91.0,"MRS. RACHEL LYNDE lived just where the Avonlea main road dipped down into a little hollow, fringed with alders and ladies' eardrops and traversed by a brook that had its source away back in the woods of the old Cuthbert place; it was reputed to be an intricate, headlong brook in its earlier course through those woods, with dark secrets of pool and cascade; but by the time it reached Lynde's Hollow it was quiet, well-conducted little stream, for not even a brook could run past Mrs. Rachel Lynde's door without due regard for decency and decorum; it probably was conscious that Mrs. Rachel was sitting at her window, keeping a sharp eye on everything that passed, from brooks and children up, and that if she noticed anything odd or out of place she would never rest until she had ferreted out the whys and wherefores thereof.",309,9780929071077,eng,1908,https://covers.openlibrary.org/b/id/14641084-L.jpg,https://openlibrary.org/works/OL77746W
Plays (36),William Shakespeare,"sources, English Manuscripts, English literature: Shakespeare texts",3.5714285,21.0,Late in 1621 or early in 1622 two men brought to the son of a somewhat disreputable printer an idea that was to change the face of literature and theatre forever.,889,0198129726,dan,1623,https://covers.openlibrary.org/b/id/9023411-L.jpg,https://openlibrary.org/works/OL362289W
Анна Каренина,Лев Толстой,"Fiction, Adultery, Married women",4.177778,45.0,"ALL happy families resemble one another, each unhappy family is unhappy in its own way.",656,9781484868850,ukr,1876,https://covers.openlibrary.org/b/id/2560652-L.jpg,https://openlibrary.org/works/OL267096W
Picasso,Pablo Picasso,"20th century, Amsterdam (Netherlands), Amsterdam (Netherlands). Stedelijk Museum",3.909091,22.0,No description available,107,9780974960708,ita,1926,https://covers.openlibrary.org/b/id/2238306-L.jpg,https://openlibrary.org/works/OL145191W
My Ántonia,Willa Cather,"Literature, Frontier and pioneer life, Czech Americans",3.9,20.0,I FIRST HEARD of Antonia on what seemed to me an interminable journey across the great midland plain of North America.,264,1593080247,eng,1818,https://covers.openlibrary.org/b/id/8369013-L.jpg,https://openlibrary.org/works/OL12791W
"Works [37 plays, 6 poems, sonnets]",William Shakespeare,"Early Modern and Elizabethan English Drama, English literature, English drama",3.4166667,12.0,"THIS play, indisputably one of the earliest complete productions of Shakespeare's mind, was first printed in the folio of 1623, where, owing to the arbitrary manner in which the dramas are disposed, it is preceded by The Tempest, assuredly one of the poet's latest creations.",1174,0760703329,eng,1730,https://covers.openlibrary.org/b/id/8779054-L.jpg,https://openlibrary.org/works/OL259028W
The Canterbury Tales,Geoffrey Chaucer,"Death, English Narrative poetry, Juvenile poetry",3.28125,32.0,"Below the smoking walls of Thebes, two thousand men grappled, sword to sword and hand to hand.",427,9781976473876,eng,1478,https://covers.openlibrary.org/b/id/5767180-L.jpg,https://openlibrary.org/works/OL531767W
La Divina Commedia,Dante Alighieri,"Poetry (poetic works by one author), Literatura, Portraits",3.851852,27.0,"To run through better waters the little ship of my wit now hoists its sails, leaving behind it a sea so cruel,",503,9780140440461,ukr,1472,https://covers.openlibrary.org/b/id/11621024-L.jpg,https://openlibrary.org/works/OL93082W
Don Quijote de la Mancha,Miguel de Cervantes Saavedra,"Don Quixote (Cervantes Saavedra, Miguel de), Quotations, Knights and knighthood",3.7884614,52.0,"Miguel de Cervantes Saavedra was at once the glory and reproach of Spain; for, if his admirable genius and heroic spirit conduced to the honour of his country, the distress and obscurity which attended his old age, as effectually redounded to her disgrace.",519,9781625585646,jpn,1600,https://covers.openlibrary.org/b/id/14428305-L.jpg,https://openlibrary.org/works/OL503666W
The Prince,Niccolò Machiavelli,"Political science, early works to 1800, Machiavel, Nicolas, 1469-1527. Prince, Classic Literature",3.8173077,104.0,"ALL states, all dominions that have had and continue to have power over men were and still are either republics or principalities.",156,9781986472470,ukr,1515,https://covers.openlibrary.org/b/id/12726168-L.jpg,https://openlibrary.org/works/OL1089297W
Metamorphoses,Ovid,"Poetry, Classical Mythology, Metamorphosis",4.2777777,18.0,Now I am ready to tell how bodies are changed,386,9780451626226,rus,1479,https://covers.openlibrary.org/b/id/7212118-L.jpg,https://openlibrary.org/works/OL15292640W
Julius Caesar,William Shakespeare,"Antoine (Marcus Antonius), Assassination, Assassins",3.607143,56.0,"1.1 Enter Flavius, Marullus, and certain commoners, one a Carpenter, another a Cobbler, over the stage",139,0665667116,gla,1656,https://covers.openlibrary.org/b/id/7901303-L.jpg,https://openlibrary.org/works/OL362702W
Gulliver's Travels,Jonathan Swift,"YA, Young adult, Juvenile",3.6136363,88.0,"MY FATHER HAD a small estate in Nottinghamshire, 1 was the third of five sons.",278,1548193240,mal,1726,https://covers.openlibrary.org/b/id/12717083-L.jpg,https://openlibrary.org/works/OL20600W
Bible,Bible,"Manuscripts, Latin (Medieval and modern), Glossaries, vocabularies, Early works to 1800",4.0,80.0,Genesis appropriately stands as the first book of the OT and serves as an essential introduction to the whole Bible.,1464,9780801014390,ukr,1200,https://covers.openlibrary.org/b/id/12707846-L.jpg,https://openlibrary.org/works/OL17732W
Diary,Samuel Pepys,"Sources, History, Social life and customs",4.6666665,3.0,"Blessed be God, at the end of the last year I was in very good health, without any sense of my old pain, but upon taking of cold.",244,9780344390500,und,1825,https://covers.openlibrary.org/b/id/12742285-L.jpg,https://openlibrary.org/works/OL193961W
Vol de nuit,Antoine de Saint-Exupéry,"Air pilots, Fiction, Aéronautique",4.5,8.0,"a scene that would never change. This tiny village, he could gladly have made friends with it; the choice once made, a man accepts the issue of his venture and can love the life.",140,9065511040,eng,1931,https://covers.openlibrary.org/b/id/116397-L.jpg,https://openlibrary.org/works/OL10267W
"Maria; or, The Wrongs of Woman",Mary Wollstonecraft,"Fiction, Women, Biography",,,"MARY, the heroine of this fiction, was the daughter of Edward, who married Eliza, a gentle, fashionable girl, with a kind of indolence in her temper, which might be termed negative good-nature: her virtues, indeed, were all of that stamp.",157,1513220551,ger,1799,https://covers.openlibrary.org/b/id/314559-L.jpg,https://openlibrary.org/works/OL849217W
Gorin no sho,Miyamoto Musashi,"Biography, Bushido, Ciencia militar",3.0952382,21.0,"I have been many years training in the Way of strategy, called Ni Ten Ichi Ryu, and now I think I will explain it in writing for the first time.",114,8441400628,jpn,1963,https://covers.openlibrary.org/b/id/6621293-L.jpg,https://openlibrary.org/works/OL3946622W
Marc Chagall,Marc Chagall,"collectionID:EarlyArt, Catalogues raisonnés, Ballet",,,No description available,128,9789518977073,eng,1948,https://covers.openlibrary.org/b/id/723472-L.jpg,https://openlibrary.org/works/OL4875453W
