Title,Author,Genre,Rating_Average,Rating_Counts,Description,Page_Numbers,ISBN,Language,Published_Year,Cover_URL,Book_Link
Anthem,Ayn Rand,"Fiction, Individuality, Time travel in fiction",3.46,50.0,"We strive to be like all our brother men, for all men must be alike.",98,9780451000538,dut,1936,https://covers.openlibrary.org/b/id/802982-L.jpg,https://openlibrary.org/works/OL731737W
Anne of the Island,Lucy Maud Montgomery,"College students, Friendship, Universities and colleges",3.8,15.0,"'Harvest is ended and summer is gone,' quoted Anne Shirley, gazing across the shorn fields dreamily.",232,1799260380,eng,1826,https://covers.openlibrary.org/b/id/14639028-L.jpg,https://openlibrary.org/works/OL77748W
Le roman du masque de fer,Alexandre Dumas,"History, Fiction, Classic Literature",4.5,8.0,"WHILST every one at court was busily engaged upon his own affairs, a man mysteriously entered a house situated behind the Place de Greve.",485,9798495339873,eng,1600,https://covers.openlibrary.org/b/id/2132494-L.jpg,https://openlibrary.org/works/OL36371W
Tarzan of the Apes,Edgar Rice Burroughs,"British in fiction, Historical Fiction, Wild men in fiction",4.4,5.0,"I HAD this story from one who had no business to tell it to me, or to any other.",286,9788703827841,dan,1912,https://covers.openlibrary.org/b/id/6608849-L.jpg,https://openlibrary.org/works/OL1418251W
The Road to Oz,L. Frank Baum,"Fairy tales, Juvenile Fiction, Fiction",3.375,8.0,"""Please, miss,"" said the shaggy man, ""can you tell me the road to Butterfield?""",139,1718636482,eng,1909,https://covers.openlibrary.org/b/id/8243922-L.jpg,https://openlibrary.org/works/OL262390W
The Canterville Ghost,Oscar Wilde,"Fiction, Ghosts, Fairy tales",4.571429,7.0,"When Mr. Hiram B. Otis, the American minister, bought Canterville Chase, every one told him he was doing a very foolish thing, as there was no doubt at all that the place was haunted.",92,9789507530111,eng,1887,https://covers.openlibrary.org/b/id/6960817-L.jpg,https://openlibrary.org/works/OL14877871W
The food of the gods and how it came to earth,H. G. Wells,"Fiction, Giants, Growth factors",3.8125,16.0,No description available,300,9781096950868,eng,1900,https://covers.openlibrary.org/b/id/314687-L.jpg,https://openlibrary.org/works/OL52195W
Martin Eden,Jack London,"Fiction, Literature, Authors",3.804878,41.0,No description available,411,6052493704,eng,1908,https://covers.openlibrary.org/b/id/9223765-L.jpg,https://openlibrary.org/works/OL144822W
The Last Man,Mary Shelley,"Fiction, Plague, Twenty-first century",3.5,8.0,I VISITED Naples in the year 1818.,411,395864905X,eng,1826,https://covers.openlibrary.org/b/id/882662-L.jpg,https://openlibrary.org/works/OL450124W
Anne of Windy Poplars,Lucy Maud Montgomery,"Juvenile fiction, High school principals, High schools",3.625,16.0,No description available,258,9798734443286,eng,1900,https://covers.openlibrary.org/b/id/14640411-L.jpg,https://openlibrary.org/works/OL77751W
The blue castle,Lucy Maud Montgomery,"Juvenile fiction, Friendship, Self-actualization (Psychology)",3.7619047,21.0,No description available,257,1680575589,eng,1926,https://covers.openlibrary.org/b/id/14640067-L.jpg,https://openlibrary.org/works/OL77775W
Phantastes,George MacDonald,"Fairy tales, Scottish Fantasy fiction, Fiction, romance, fantasy",4.1764708,17.0,"Certa manhã, despertei com a usual perplexidade da mente que acompanha o retorno à consciência.",196,9781548154752,eng,1850,https://covers.openlibrary.org/b/id/14358814-L.jpg,https://openlibrary.org/works/OL15450W
Just So Stories,Rudyard Kipling,"Animals, Children's stories, English, Short stories",3.5714285,7.0,"IN THE sea, once upon a time, O my Best Beloved, there was a Whale, and he ate fishes.",113,9798748007313,eng,1922,https://covers.openlibrary.org/b/id/36215-L.jpg,https://openlibrary.org/works/OL19899W
A Modern Utopia,H. G. Wells,"Utopias, Fiction, Science Fiction",3.2307692,13.0,The Utopia of a modern dreamer must needs differ in one fundamental aspect from the Nowheres and Utopias men planned before Darwin quickened the thought of the world.,320,9798531897602,eng,1900,https://covers.openlibrary.org/b/id/8232021-L.jpg,https://openlibrary.org/works/OL52256W
The Complete Life and Adventures of Santa Claus,L. Frank Baum,"Fantasy, Fiction, Juvenile Fiction",4.25,4.0,HAVE you heard of the great Forest of Burzee?,98,9781976087097,eng,1902,https://covers.openlibrary.org/b/id/1979059-L.jpg,https://openlibrary.org/works/OL262358W
The King in Yellow,Robert W. Chambers,"Fiction, Fiction, horror, Fiction, short stories (single author)",3.9230769,13.0,"TOWARD the end of the year 1920 the Government of the United States had practically completed the programme, adopted during the last months of President Winthrop's administration.",228,9781093245608,eng,1895,https://covers.openlibrary.org/b/id/4752788-L.jpg,https://openlibrary.org/works/OL8127201W
Jo's Boys,Louisa May Alcott,"Fiction, Family life, Boarding schools",3.7272727,11.0,"If anyone had told me what wonderful changes were to take place here in ten years, I wouldn't have believed it,' said Mrs Jo to Mrs Meg, as they sat on the piazza at Plumfield one summer day, looking about them with faces full of pride and pleasure.",328,9781412165068,und,1886,https://covers.openlibrary.org/b/id/13166184-L.jpg,https://openlibrary.org/works/OL26668762W
Herland,Charlotte Perkins Gilman,"Utopias, Fiction, Women",3.8888888,9.0,"This is written from memory, unfortunately.",152,1453806644,fre,1915,https://covers.openlibrary.org/b/id/448130-L.jpg,https://openlibrary.org/works/OL2771987W
Of Human Bondage,William Somerset Maugham,"People with disabilities, fiction, Orphans, fiction, Physically handicapped, fiction",4.181818,11.0,The day broke gray and dull.,589,1411432843,eng,1915,https://covers.openlibrary.org/b/id/5277723-L.jpg,https://openlibrary.org/works/OL505781W
Carmilla,Sheridan Le Fanu,"English Fantasy fiction, Fantasy fiction, English, Fiction",3.9310346,58.0,"Sobre una hoja de papel adherida a la narración que sigue, el doctor Hesselius ha escrito una nota bastante elaborada, nota que acompaña con una referencia a un ensayo suyo sobre el extraño tema iluminado por el presente manuscrito.",90,9781522085027,eng,1871,https://covers.openlibrary.org/b/id/973851-L.jpg,https://openlibrary.org/works/OL2895536W
Dorothy and the Wizard in Oz,L. Frank Baum,"Fairy tales, Fiction, Oz (Imaginary place)",3.7,10.0,THE train from 'Frisco was very late.,134,9780665789632,eng,1908,https://covers.openlibrary.org/b/id/12648659-L.jpg,https://openlibrary.org/works/OL18412W
The Power of Darkness,Edith Nesbit,"English Ghost stories, English Horror tales, Fiction",1.6,5.0,No description available,29,9798456500243,eng,2006,https://covers.openlibrary.org/b/id/882715-L.jpg,https://openlibrary.org/works/OL407498W
The Phoenix and the Carpet,Edith Nesbit,"English Fantasy fiction, Magic, Brothers and sisters",3.1,10.0,"It began with the day when it was almost the Fifth of November, and a doubt arose in some breast - Robert's, I fancy - as to the quality of the fireworks laid in for the Guy Fawkes celebration.",174,1592249132,eng,1903,https://covers.openlibrary.org/b/id/902122-L.jpg,https://openlibrary.org/works/OL99539W
The Mystery of the Blue Train,Agatha Christie,"Crimes against, Detective and mystery stories, Divorce",3.9629629,27.0,IT was close on midnight when a man crossed the Place de la Concorde.,257,8804507535,eng,1928,https://covers.openlibrary.org/b/id/14575533-L.jpg,https://openlibrary.org/works/OL471603W
Kim,Rudyard Kipling,"Fiction, Irish, Lamas",3.7222223,18.0,"He sat, in defiance of municipal orders, astride the gun Zam-Zammah on her brick platform opposite the old Ajaib-Gher-the Wonder House, as the natives call the Lahore Museum.",286,1796282952,eng,1901,https://covers.openlibrary.org/b/id/1053011-L.jpg,https://openlibrary.org/works/OL19908W
Daddy-Long-Legs,Jean Webster,"Philanthropists, Letters, Juvenile fiction",4.8,5.0,"The first Wednesday in every month was a Perfectly Awful Day-a day to be awaited with dread, endured with courage and forgotten with haste.",196,9787539148816,eng,1912,https://covers.openlibrary.org/b/id/8266414-L.jpg,https://openlibrary.org/works/OL4322177W
The Man in the Brown Suit,Agatha Christie,"Fiction, Mystery, English literature",4.0588236,17.0,"Everybody has been at me, right and left, to write this story from the great (represented by Lord Nasby) to the small (represented by our late maid of all work, Emily, whom I saw when I was last in England.",225,1906141185,eng,1924,https://covers.openlibrary.org/b/id/11153508-L.jpg,https://openlibrary.org/works/OL472549W
"Under the Greenwood Tree or, The Mellstock quire",Thomas Hardy,"British and irish fiction (fictional works by one author), Wessex (england), fiction, Man-woman relationships, fiction",3.3333333,3.0,To dwellers in a wood almost every species of tree has its voice as well as its feature.,221,9798775360672,spa,1872,https://covers.openlibrary.org/b/id/902186-L.jpg,https://openlibrary.org/works/OL44973W
A Princess of Mars,Edgar Rice Burroughs,"John Carter (Fictitious character), Fiction, Classic Literature",4.023256,43.0,I AM A very old man; how old I do not know.,183,9781490516691,eng,1917,https://covers.openlibrary.org/b/id/207226-L.jpg,https://openlibrary.org/works/OL1418187W
A Little Princess,Frances Hodgson Burnett,"Children's fiction, Orphans, fiction, London (england), fiction",4.2105265,19.0,"Once on a dark winter's day, when the yellow fog hung so thick and heavy in the streets of London that the lamps were lighted and the shop windows blazed with gas as they do at night, an odd-looking girl sat in a cab with her father and was driven rather slowly through the big thoroughfares.",224,9780590543071,und,1905,https://covers.openlibrary.org/b/id/2328315-L.jpg,https://openlibrary.org/works/OL69630W
The Beautiful and Damned,F. Scott Fitzgerald,"Fiction, Inheritance and succession, fiction, Married people, fiction",4.1,10.0,"IN 1913, when Anthony Patch was twenty-five, two years were already gone since irony, the Holy Ghost of this later day, had, theoretically at least, descended upon him.",439,9781090323194,eng,1920,https://covers.openlibrary.org/b/id/7152019-L.jpg,https://openlibrary.org/works/OL468362W
On the Beach,Nevil Shute,"Atomic Bomb, English Science fiction, Fiction",3.75,8.0,LIEUTENANT COMMANDER PETER HOLMES of the Royal Australian Navy woke soon after dawn.,292,0345297326,eng,1957,https://covers.openlibrary.org/b/id/997896-L.jpg,https://openlibrary.org/works/OL2779754W
The Black Cat,Edgar Allan Poe,"fiction, horror fiction, cats",4.1578946,19.0,"FOR the most wild, yet most homely narrative which I am about to open, I neither expect nor solicit belief.",32,1728829968,eng,1914,https://covers.openlibrary.org/b/id/11709016-L.jpg,https://openlibrary.org/works/OL41068W
The Jewel of Seven Stars,Bram Stoker,"Mummies, Horror, Fiction",4.5,6.0,"IT all seemed so real that I could hardly imagine that it had ever occurred before; and yet each episode came, not as a fresh step in the logic of things, but as something expected.",228,9798481877518,ger,1902,https://covers.openlibrary.org/b/id/2760301-L.jpg,https://openlibrary.org/works/OL85891W
Shirley,Charlotte Brontë,"England, fiction, British and irish fiction (fictional works by one author), Fiction, historical, general",4.125,8.0,"Of late years an abundant shower of curates has fallen upon the north of England: they lie very thick on the hills; every parish has one or more of them; they are young enough to be very active, and ought to be doing a great deal of good.",600,1419247093,eng,1800,https://covers.openlibrary.org/b/id/11024634-L.jpg,https://openlibrary.org/works/OL1095397W
Мастер и Маргарита,Михаил Афанасьевич Булгаков,"satire, humor, Politicians",4.142857,91.0,"Once upon an unusually hot hour of sunset in spring, two gentlemen appeared at Patriarch's Ponds in Moscow.",439,5415004874,eng,1966,https://covers.openlibrary.org/b/id/12947486-L.jpg,https://openlibrary.org/works/OL676009W
An American Tragedy,Theodore Dreiser,"Classic Literature, Fiction, Thriller",3.857143,14.0,DUSK-of a summer night.,784,9798531372765,eng,1900,https://covers.openlibrary.org/b/id/12728401-L.jpg,https://openlibrary.org/works/OL100239W
The Story of the Amulet,Edith Nesbit,"Roman pour la jeunesse, Litterature fantastique, Classic Literature",3.6666667,9.0,"There were once four children who spent their summer holidays in a white house, happily situated between a sandpit and a chalkpit.",203,9798747778610,eng,1905,https://covers.openlibrary.org/b/id/13241470-L.jpg,https://openlibrary.org/works/OL407476W
Sult,Knut Hamsun,"Fiction Classics, Literary Fiction, Mental Depression",3.75,16.0,All of this happened while I was walking around starving in Christiania-that strange city no one escapes from until it has left its mark on him....,196,8205180229,nor,1890,https://covers.openlibrary.org/b/id/10472647-L.jpg,https://openlibrary.org/works/OL573193W
The World Set Free,H. G. Wells,"Nuclear warfare, Imaginary wars and battles, Fiction",3.5,4.0,"The problem which was already being mooted by such scientific men as Ramsay, Rutherford, and Soddy, in the very beginning of the twentieth century, the problem of inducing radio-activity in the heavier elements and so tapping the internal energy of atoms, was solved by a wonderful combination of induction, intuition, and luck by Holsten so soon as the year 1933.",240,1695984900,eng,1914,https://covers.openlibrary.org/b/id/8246099-L.jpg,https://openlibrary.org/works/OL52257W
The Book of Dragons,Edith Nesbit,"Juvenile fiction, Children's stories, English, Fiction",4.0,13.0,No description available,112,1540638561,eng,1973,https://covers.openlibrary.org/b/id/4342323-L.jpg,https://openlibrary.org/works/OL99529W
Howards End,E. M. Forster,"Fiction, Inheritance and succession, Sisters",4.4444447,9.0,One may as well begin with Helen's letters to her sister.,343,9798453373802,eng,1910,https://covers.openlibrary.org/b/id/8235207-L.jpg,https://openlibrary.org/works/OL88881W
The Picture of Dorian Gray,Oscar Wilde,"British and irish fiction (fictional works by one author), Conduct of life, fiction, Fantasy fiction",4.1282053,117.0,"Starker Rosenduft erfüllte das Atelier, und wenn der leichte Sommerwind sich zwsichen den Bäumen des Gartens regte, drang durch die geöffnete Tür der schwere Geruch des Flieders und der zartere Hauch des Rotdorns.",246,9783518013144,ukr,1890,https://covers.openlibrary.org/b/id/14314858-L.jpg,https://openlibrary.org/works/OL8193416W
She,H. Rider Haggard,"Fiction in English, Adventure and adventurers, Reincarnation",3.8333333,6.0,There are some events of which each circumstance and surrounding detail seem to be graven on the memory in such fashion that we cannot forget them.,282,1790170885,eng,1886,https://covers.openlibrary.org/b/id/295537-L.jpg,https://openlibrary.org/works/OL17453W
Voyage au Centre de la Terre,Jules Verne,"Fiction, Science fiction, Imaginary Voyages",4.1034484,87.0,"On 24 May 1863, which was a Sunday, my uncle, Professor Lidenbrock, came rushing back towards his little house, No. 19 Konigstrasse, one of the oldest streets in the old quarter of Hamburg.",244,0883012103,por,1867,https://covers.openlibrary.org/b/id/5890987-L.jpg,https://openlibrary.org/works/OL1099513W
The First Men in the Moon,H. G. Wells,"Classic Literature, Fiction, Imperialism",3.2666667,15.0,No description available,238,9781434672506,gle,1900,https://covers.openlibrary.org/b/id/8081288-L.jpg,https://openlibrary.org/works/OL52260W
The Invisible Man,H. G. Wells,"Ciencia-ficción, Classic Literature, Fiction",3.790476,105.0,"THE stranger came early in February, one wintry day, through a biting wind and a driving snow, the last snowfall of the year, over the down, walking as it seemed from Bramblehurst railway station, and carrying a little black portmanteau in his thickly gloved hand.",170,1539936899,por,0,https://covers.openlibrary.org/b/id/6419199-L.jpg,https://openlibrary.org/works/OL52266W
Mrs. Dalloway,Virginia Woolf,"Fiction, Married women, Married women in fiction",3.6078432,51.0,MRS DALLOWAY said she would buy the flowers herself.,224,9798501652002,spa,1925,https://covers.openlibrary.org/b/id/6397580-L.jpg,https://openlibrary.org/works/OL39349W
"Momo oder Die seltsame Geschichte von den Zeit-Dieben und von dem Kind, das den Menschen die gestohlene Zeit zurückbrachte",Michael Ende,"Girls, Juvenile fiction, Time",4.5454545,33.0,"In alten Zeite, als die Menschen noch in ganz anderen Sprachen redeten, gab es in den warmen Ländern schon große und prächtige Städte.",269,9785942788568,baq,1973,https://covers.openlibrary.org/b/id/8574580-L.jpg,https://openlibrary.org/works/OL2271626W
The Sun Also Rises,Ernest Hemingway,"Fiction, Historical, Expatriation, fiction, Americans",3.6666667,27.0,No description available,247,9798621394370,por,1926,https://covers.openlibrary.org/b/id/78741-L.jpg,https://openlibrary.org/works/OL62979W
Kidnapped,Robert Louis Stevenson,"Juvenile fiction, Fiction, History",3.7058823,17.0,"I will begin the story of my adventures with a certain morning early in the month of June, the year of grace 1751, when I took the key for the last time out of the door of my father's house.",260,9781584722731,eng,1886,https://covers.openlibrary.org/b/id/8267822-L.jpg,https://openlibrary.org/works/OL24166W
"Villette, a novel",Charlotte Brontë,"Fiction, Women teachers, Separation (Psychology)",3.4,5.0,MY godmother lived in a handsome house in the clean and ancient town of Bretton.,539,3849560430,eng,1853,https://covers.openlibrary.org/b/id/5737854-L.jpg,https://openlibrary.org/works/OL1095403W
The Secret of Chimneys,Agatha Christie,"Fiction, Mystery, Superintendent Battle (Fictitious character)",4.3333335,18.0,No description available,257,1504764811,eng,1925,https://covers.openlibrary.org/b/id/12996574-L.jpg,https://openlibrary.org/works/OL472542W
The Silmarillion,J.R.R. Tolkien,"Fantasy fiction, Short stories, Middle Earth (Imaginary place)",3.9655173,116.0,"There was Eru, the One, who in Arda is called Ilúvatar; and he made first the Ainur, the Holy Ones, that were the offspring of his thought, and they were with him before aught else was made.",428,9505470649,eng,1977,https://covers.openlibrary.org/b/id/14627042-L.jpg,https://openlibrary.org/works/OL27495W
Der Zauberberg,Thomas Mann,"Fiction, Sanatoriums, German fiction",4.230769,13.0,AN ORDINARY YOUNG MAN was on his way from his hometown of Hamburg to Davos-Platz in the canton of Graubunden.,729,9509009350,eng,1924,https://covers.openlibrary.org/b/id/2056242-L.jpg,https://openlibrary.org/works/OL14866824W
Eva Luna,Isabel Allende,"Spanish language books, Spanish fiction, Storytellers",4.111111,9.0,"Me llamo Eva, que quiere decir vida, segun un libro que mi madre consulto para escoger mi nombre.",305,8401352916,eng,1987,https://covers.openlibrary.org/b/id/3205240-L.jpg,https://openlibrary.org/works/OL1905263W
La Peste,Albert Camus,"Fiction, Plague, Plague in literature",4.107143,28.0,The unusual events described in this chronicle occurred in 194-at Oran.,278,9780318656830,eng,1942,https://covers.openlibrary.org/b/id/13151272-L.jpg,https://openlibrary.org/works/OL1230715W
Diary of a Wimpy Kid,Jeff Kinney,"School stories, Families, Diaries",4.12439,410.0,Don't email me 21leem@simonballe.herts.sch.uk,224,9788427226241,baq,2002,https://covers.openlibrary.org/b/id/14376136-L.jpg,https://openlibrary.org/works/OL8483260W
White Fang,Jack London,"Gold discoveries, Wolfdogs, Classic Literature",3.96875,64.0,Dark spruce forest frowned on either side the frozen waterway.,237,9798726824987,eng,1905,https://covers.openlibrary.org/b/id/8236920-L.jpg,https://openlibrary.org/works/OL74504W
The Old Curiosity Shop,Charles Dickens,"Fiction, Girls, Gamblers",4.0,5.0,No description available,563,9781539370949,eng,1800,https://covers.openlibrary.org/b/id/13119794-L.jpg,https://openlibrary.org/works/OL14869167W
The Silver Chair,C. S. Lewis,"Fiction, Juvenile Fiction, Science Fiction & Fantasy",4.0,31.0,IT WAS A DULL AUTUMN DAY AND JILL Pole was crying behind the gym.,217,0001831410,eng,1953,https://covers.openlibrary.org/b/id/6950992-L.jpg,https://openlibrary.org/works/OL71078W
The Scarlet Pimpernel,Baroness Emmuska Orczy,"Classic Literature, Adventure and adventurers, Open Library Staff Picks",4.296296,27.0,"A SURGING, SEETHING, MURMURING CROWD of beings that are human only in name, for to the eye and ear they seem naught but savage creatures, animated by vile passions and by the lust of vengeance and of hate.",303,1548199419,eng,1900,https://covers.openlibrary.org/b/id/479102-L.jpg,https://openlibrary.org/works/OL1253285W
Ordeal by Innocence,Agatha Christie,"Detectives, Fiction, Detective and mystery stories",4.0,2.0,It was dusk when he came to the Ferry.,249,9780061002786,eng,1958,https://covers.openlibrary.org/b/id/14586345-L.jpg,https://openlibrary.org/works/OL472145W
The Innocence of Father Brown (Father Brown Mystery),Gilbert Keith Chesterton,"Fiction, mystery & detective, collections & anthologies, England, fiction, Brown, father (fictitious character), fiction",4.2352943,17.0,"Between the silver ribbon of morning and the green glittering ribbon of sea, the boat touched Harwich and let loose a swarm of folk like flies, among whom the man we must follow was by no means conspicuous-nor wished to be.",208,9798708280299,eng,1583,https://covers.openlibrary.org/b/id/94081-L.jpg,https://openlibrary.org/works/OL76341W
The Riddle of the Sands,Erskine Childers,"Great britain, fiction, Fiction, action & adventure, Fiction, thrillers, espionage",3.75,4.0,"I HAVE read of men who, when forced by their calling to live for long periods in utter solitude-save for a few black faces-have made it a rule to dress regularly for dinner in order to maintain their self-respect and prevent a relapse into barbarism.",298,1081117451,eng,1903,https://covers.openlibrary.org/b/id/2293974-L.jpg,https://openlibrary.org/works/OL23797W
Le fantôme de l'opéra,Gaston Leroux,"Fiction, Opera, Composers",3.8421052,38.0,"It was the evening on which MM. Debienne and Poligny, the managers of the Opera, were giving a last gala performance to mark their retirement.",276,9781853262739,eng,1911,https://covers.openlibrary.org/b/id/8245407-L.jpg,https://openlibrary.org/works/OL1833989W
Ivanhoe,Sir Walter Scott,"Fiction, History, Knights and knighthood",3.5333333,15.0,"In that pleasant district of merry England which is watered by the river Don, there extended in ancient times a large forest, covering the greater part of the beautiful hills and valleys which lie between Sheffield and the pleasant town of Doncaster.",488,9781149042021,eng,1800,https://covers.openlibrary.org/b/id/314235-L.jpg,https://openlibrary.org/works/OL863808W
A Room with a View,E. M. Forster,"British, Fiction, Young women",3.75,20.0,"""The Signora had no business to do it,"" said Miss Bartlett, ""no business at all.",204,9781724346162,eng,1905,https://covers.openlibrary.org/b/id/1748132-L.jpg,https://openlibrary.org/works/OL88813W
The Valley of Fear,Arthur Conan Doyle,"English Detective and mystery stories, Fiction, Private investigators",4.148148,27.0,Ich denke...« sagte ich.,206,1720076952,srp,1914,https://covers.openlibrary.org/b/id/8350377-L.jpg,https://openlibrary.org/works/OL262505W
It Can't Happen Here,Sinclair Lewis,"Anti-fascist movements, Presidents, Newspaper editors",3.7368422,19.0,"The handsome dining room of the Hotel Wessex, with its gilded plaster shields and the mural depicting the Green Mountains, had been reserved for the Ladies' Night Dinner of the Fort Beulah Rotary Club.",376,1537427075,rus,1935,https://covers.openlibrary.org/b/id/12719018-L.jpg,https://openlibrary.org/works/OL51145W
The Last Battle,C. S. Lewis,"Juvenile Fiction, Science Fiction & Fantasy, Fiction",3.875,72.0,"IN THE LAST DAYS OF NARNIA, FAR UP to the west beyond Lantern Waste and close beside the great waterfall, there lived an Ape.",192,0582186498,eng,1956,https://covers.openlibrary.org/b/id/6529226-L.jpg,https://openlibrary.org/works/OL71124W
Anne of Avonlea,Lucy Maud Montgomery,"Fiction, History, Juvenile fiction",4.285714,28.0,"A TALL, SLIM girl, ""half-past sixteen,"" with serious gray eyes and hair which her friends called auburn, had sat down on the broad red sandstone doorstep of a Prince Edward Island farmhouse one ripe afternoon in August, firmly resolved to construe so many lines of Virgil.",277,1512402133,eng,1909,https://covers.openlibrary.org/b/id/14638062-L.jpg,https://openlibrary.org/works/OL77744W
After the Funeral,Agatha Christie,"Fiction, Mystery, Hercule Poirot (Fictitious character)",4.1764708,17.0,"OLD Lanscombe moved totteringly from room to room, pulling up the blinds.",237,0425173909,eng,1953,https://covers.openlibrary.org/b/id/12996535-L.jpg,https://openlibrary.org/works/OL471943W
Tik-Tok of Oz,L. Frank Baum,"Fairy tales, Fantasy fiction, Juvenile fiction",2.5,2.0,"""I WON'T!"" cried Ann; I won't sweep the floor.",157,9781533529503,eng,1914,https://covers.openlibrary.org/b/id/8243277-L.jpg,https://openlibrary.org/works/OL18414W
The Hollow,Agatha Christie,"Fiction, Hercule Poirot (Fictitious character), Private investigators",3.6666667,9.0,"AT 6:13 A.M. on a Friday morning Lucy Angkatell's big blue eyes opened upon another day, and as always, she was at once wide awake and began immediately to deal with the problems conjured up by her incredibly active mind.",252,0007280505,eng,1946,https://covers.openlibrary.org/b/id/13679064-L.jpg,https://openlibrary.org/works/OL472526W
Бѣсы,Фёдор Михайлович Достоевский,"Fiction, Russian fiction, Politics in fiction",4.5,8.0,"IN setting out to describe the recent and very strange events that occurred in our hitherto completely undistinguished little town, I am compelled by my own lack of talent to begin from some time back, that is, with a few biographical details about the talented and highly esteemed Stepan Trofimovich Verkhovensky.",704,9785170632558,eng,1871,https://covers.openlibrary.org/b/id/9258937-L.jpg,https://openlibrary.org/works/OL166971W
Demian,Hermann Hesse,"Teenage boys, Translations into English, Bildungsromans",4.188679,53.0,I shall begin my story with an experience I had when I was ten and attended our small town's Latin school.,184,9783518458525,eng,1919,https://covers.openlibrary.org/b/id/12569297-L.jpg,https://openlibrary.org/works/OL30457295W
Murder on the Links,Agatha Christie,"Fiction, Hercule Poirot (Fictitious character), Private investigators",3.5,22.0,"I believe that a well-known anecdote exists to the effect that a young writer, determined to make the commencement of his story forcible and original enough to catch and rivet the attention of the most blasé of editors, penned the following sentence: "" 'Hell!' said the Duchess.""",224,9783596166572,eng,1923,https://covers.openlibrary.org/b/id/14582832-L.jpg,https://openlibrary.org/works/OL472073W
The Princess and the Goblin,George MacDonald,"Classic Literature, Fantasy, Fiction",3.5,6.0,IT WAS NOT TONY LEMLICH'S HABIT TO SPEND TIME ON THE shooting set of one of the pictures he had written.,185,9781502828354,eng,1872,https://covers.openlibrary.org/b/id/14363454-L.jpg,https://openlibrary.org/works/OL15449W
The Twits,Roald Dahl,"humorous stories, animals, Open Library Staff Picks",3.9454546,55.0,No description available,96,0141358661,eng,1967,https://covers.openlibrary.org/b/id/14838233-L.jpg,https://openlibrary.org/works/OL45884W
